PROBLEM SIZE: clauses - 1787368 literals - 5295342
TIME TO SOLVE: 136.39 sec
HEIGHT: 102
x1 = 15, y1 = 0
x2 = 25, y2 = 26
x3 = 3, y3 = 12
x4 = 1, y4 = 35
x5 = 12, y5 = 21
x6 = 34, y6 = 76
x7 = 13, y7 = 79
x8 = 10, y8 = 9
x9 = 0, y9 = 64
x10 = 0, y10 = 22
x11 = 11, y11 = 21
x12 = 29, y12 = 56
x13 = 7, y13 = 75
x14 = 18, y14 = 19
x15 = 8, y15 = 55
x16 = 0, y16 = 39
x17 = 13, y17 = 55
x18 = 22, y18 = 53
x19 = 14, y19 = 8
x20 = 13, y20 = 64
x21 = 25, y21 = 0
x22 = 18, y22 = 42
x23 = 0, y23 = 14
x24 = 8, y24 = 21
x25 = 36, y25 = 25
x26 = 3, y26 = 6
x27 = 18, y27 = 30
x28 = 13, y28 = 92
x29 = 8, y29 = 18
x30 = 0, y30 = 79
x31 = 21, y31 = 68
x32 = 10, y32 = 6
x33 = 10, y33 = 37
x34 = 3, y34 = 64
x35 = 0, y35 = 48
x36 = 1, y36 = 86
x37 = 33, y37 = 79
x38 = 37, y38 = 0
x39 = 28, y39 = 11
x40 = 14, y40 = 37
x41 = 33, y41 = 66
x42 = 0, y42 = 0
x43 = 7, y43 = 83
x44 = 8, y44 = 95
x45 = 0, y45 = 53
x46 = 27, y46 = 57
x47 = 0, y47 = 75
x48 = 17, y48 = 44
x49 = 37, y49 = 54
x50 = 37, y50 = 44
x51 = 0, y51 = 94
x52 = 26, y52 = 42
x53 = 35, y53 = 25
x54 = 16, y54 = 10
x55 = 6, y55 = 12
x56 = 23, y56 = 10
x57 = 2, y57 = 8
x58 = 13, y58 = 71
x59 = 3, y59 = 95
x60 = 8, y60 = 39
x61 = 0, y61 = 5
x62 = 1, y62 = 79
x63 = 16, y63 = 9
x64 = 29, y64 = 32
x65 = 31, y65 = 0
x66 = 28, y66 = 0
x67 = 29, y67 = 53
x68 = 35, y68 = 1
x69 = 21, y69 = 80
x70 = 21, y70 = 0
x71 = 21, y71 = 25
x72 = 8, y72 = 28
x73 = 37, y73 = 47
x74 = 28, y74 = 90
x75 = 31, y75 = 33
x76 = 21, y76 = 91
x77 = 36, y77 = 56
x78 = 9, y78 = 83
x79 = 32, y79 = 32
x80 = 32, y80 = 64
x81 = 25, y81 = 37
x82 = 0, y82 = 80
x83 = 8, y83 = 94
x84 = 21, y84 = 18
x85 = 10, y85 = 34
x86 = 0, y86 = 25
x87 = 14, y87 = 49
x88 = 28, y88 = 83
x89 = 8, y89 = 66
x90 = 6, y90 = 48
x91 = 0, y91 = 68
x92 = 15, y92 = 91
x93 = 21, y93 = 93
x94 = 34, y94 = 87
x95 = 8, y95 = 45
x96 = 6, y96 = 18
x97 = 21, y97 = 64
x98 = 0, y98 = 91
x99 = 9, y99 = 54
x100 = 10, y100 = 30
x101 = 21, y101 = 44
x102 = 8, y102 = 0
x103 = 2, y103 = 6
x104 = 11, y104 = 12
x105 = 36, y105 = 33
x106 = 27, y106 = 53
x107 = 34, y107 = 94
x108 = 12, y108 = 33
x109 = 35, y109 = 10
x110 = 28, y110 = 67
x111 = 35, y111 = 15
x112 = 14, y112 = 53
x113 = 9, y113 = 93
x114 = 16, y114 = 18
x115 = 4, y115 = 0
x116 = 28, y116 = 72
x117 = 29, y117 = 23
x118 = 32, y118 = 56
x119 = 30, y119 = 44
x120 = 5, y120 = 94
