PROBLEM SIZE: clauses - 91460 literals - 266193
TIME TO SOLVE: 0.21 sec
HEIGHT: 36 (optimal)
x1 = 14, y1 = 0
x2 = 20, y2 = 22
x3 = 11, y3 = 0
x4 = 13, y4 = 16
x5 = 34, y5 = 11
x6 = 7, y6 = 13
x7 = 32, y7 = 23
x8 = 8, y8 = 10
x9 = 13, y9 = 32
x10 = 16, y10 = 33
x11 = 0, y11 = 7
x12 = 17, y12 = 32
x13 = 14, y13 = 8
x14 = 29, y14 = 22
x15 = 4, y15 = 25
x16 = 27, y16 = 2
x17 = 5, y17 = 26
x18 = 24, y18 = 22
x19 = 33, y19 = 35
x20 = 0, y20 = 0
x21 = 20, y21 = 12
x22 = 26, y22 = 20
x23 = 1, y23 = 12
x24 = 8, y24 = 0
x25 = 0, y25 = 20
x26 = 28, y26 = 0
x27 = 6, y27 = 24
x28 = 32, y28 = 22
x29 = 24, y29 = 33
x30 = 5, y30 = 35
x31 = 13, y31 = 20
x32 = 7, y32 = 7
x33 = 0, y33 = 28
x34 = 35, y34 = 0
x35 = 1, y35 = 7
x36 = 26, y36 = 12
x37 = 0, y37 = 16
x38 = 23, y38 = 12
x39 = 20, y39 = 0
x40 = 4, y40 = 12
