PROBLEM SIZE: clauses - 1401850 literals - 4155644
TIME TO SOLVE: 15881.12 sec
HEIGHT: 134 (optimal)
x1 = 19, y1 = 51
x2 = 13, y2 = 104
x3 = 19, y3 = 117
x4 = 3, y4 = 53
x5 = 0, y5 = 79
x6 = 6, y6 = 96
x7 = 11, y7 = 115
x8 = 19, y8 = 114
x9 = 6, y9 = 87
x10 = 8, y10 = 8
x11 = 7, y11 = 8
x12 = 15, y12 = 58
x13 = 19, y13 = 90
x14 = 12, y14 = 58
x15 = 20, y15 = 16
x16 = 0, y16 = 28
x17 = 17, y17 = 1
x18 = 20, y18 = 79
x19 = 2, y19 = 2
x20 = 13, y20 = 127
x21 = 22, y21 = 59
x22 = 0, y22 = 91
x23 = 14, y23 = 0
x24 = 3, y24 = 57
x25 = 14, y25 = 39
x26 = 2, y26 = 0
x27 = 0, y27 = 5
x28 = 22, y28 = 117
x29 = 2, y29 = 50
x30 = 24, y30 = 117
x31 = 18, y31 = 39
x32 = 0, y32 = 93
x33 = 0, y33 = 71
x34 = 12, y34 = 93
x35 = 0, y35 = 64
x36 = 17, y36 = 98
x37 = 5, y37 = 112
x38 = 22, y38 = 69
x39 = 15, y39 = 67
x40 = 18, y40 = 27
x41 = 4, y41 = 69
x42 = 10, y42 = 41
x43 = 7, y43 = 5
x44 = 6, y44 = 79
x45 = 0, y45 = 17
x46 = 8, y46 = 31
x47 = 6, y47 = 107
x48 = 21, y48 = 11
x49 = 8, y49 = 115
x50 = 18, y50 = 0
x51 = 0, y51 = 41
x52 = 21, y52 = 0
x53 = 18, y53 = 51
x54 = 15, y54 = 59
x55 = 16, y55 = 10
x56 = 9, y56 = 0
x57 = 0, y57 = 37
x58 = 17, y58 = 106
x59 = 5, y59 = 116
x60 = 0, y60 = 58
x61 = 0, y61 = 49
x62 = 9, y62 = 86
x63 = 8, y63 = 30
x64 = 0, y64 = 0
x65 = 21, y65 = 28
x66 = 22, y66 = 118
x67 = 18, y67 = 90
x68 = 8, y68 = 21
x69 = 0, y69 = 123
x70 = 11, y70 = 69
x71 = 21, y71 = 129
x72 = 10, y72 = 46
x73 = 15, y73 = 86
x74 = 6, y74 = 57
x75 = 0, y75 = 112
x76 = 3, y76 = 3
x77 = 7, y77 = 117
x78 = 16, y78 = 16
x79 = 6, y79 = 86
x80 = 0, y80 = 69
x81 = 10, y81 = 21
x82 = 2, y82 = 53
x83 = 21, y83 = 128
x84 = 13, y84 = 79
x85 = 4, y85 = 93
x86 = 8, y86 = 11
x87 = 6, y87 = 111
x88 = 0, y88 = 96
x89 = 13, y89 = 30
x90 = 17, y90 = 93
x91 = 18, y91 = 3
x92 = 12, y92 = 47
x93 = 3, y93 = 41
x94 = 7, y94 = 127
x95 = 0, y95 = 103
x96 = 10, y96 = 26
x97 = 12, y97 = 26
x98 = 12, y98 = 104
x99 = 21, y99 = 16
x100 = 18, y100 = 86
