PROBLEM SIZE: clauses - 101225 literals - 295248
TIME TO SOLVE: 49.93 sec
HEIGHT: 57 (optimal)
x1 = 19, y1 = 18
x2 = 11, y2 = 20
x3 = 16, y3 = 30
x4 = 11, y4 = 42
x5 = 8, y5 = 0
x6 = 14, y6 = 46
x7 = 0, y7 = 38
x8 = 16, y8 = 15
x9 = 16, y9 = 18
x10 = 0, y10 = 0
x11 = 7, y11 = 3
x12 = 11, y12 = 31
x13 = 19, y13 = 26
x14 = 11, y14 = 46
x15 = 19, y15 = 34
x16 = 0, y16 = 29
x17 = 7, y17 = 20
x18 = 20, y18 = 34
x19 = 18, y19 = 45
x20 = 0, y20 = 50
x21 = 22, y21 = 8
x22 = 11, y22 = 40
x23 = 7, y23 = 12
x24 = 8, y24 = 50
x25 = 15, y25 = 22
x26 = 0, y26 = 27
x27 = 0, y27 = 3
x28 = 14, y28 = 31
x29 = 14, y29 = 12
x30 = 15, y30 = 30
x31 = 14, y31 = 0
x32 = 10, y32 = 12
x33 = 21, y33 = 0
x34 = 20, y34 = 46
x35 = 10, y35 = 15
x36 = 8, y36 = 32
x37 = 21, y37 = 8
x38 = 8, y38 = 40
x39 = 0, y39 = 15
x40 = 8, y40 = 20
